report_id,report_title,raw_variable_name,item_type,definition,measurement_method,unit,data_source_text,data_source_type,availability,temporal_coverage,geographic_coverage,evidence_chunk_id,evidence_quote,page_number,confidence_score,review_status,reason,model,prompt_version,batch_id
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,"Total global funding activity (VC, PE and M&A) in insurtech 2020-2023",codebook_variable,"Total global funding activity in insurtech sector including venture capital, private equity, and mergers & acquisitions.",Aggregated deal value and deal count from PitchBook data as of 30 June 2023.,"USD billion for deal value, number of deals for deal count","Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,2020-2023 (up to 30 June 2023),Global,c61aefa1-eb5d-4ab3-91e5-487616ef46ec,"Total global funding activity (VC, PE and M&A) in insurtech 2020–2023*",16,0.95,pending,"Explicit definition, measurement method, unit, data source, temporal and geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Median M&A size ($M) in fintech in the Americas 2020-2023,codebook_variable,Median size of mergers and acquisitions in the fintech sector in the Americas region by year.,Median deal size calculated from PitchBook data.,Million USD,"Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,2020-2023 (up to 30 June 2023),Americas,5c06012a-54af-456c-b964-20628ca932aa,Median M&A size ($M) in fintech in the Americas 2020–2023*,30,0.9,pending,"Explicit metric with definition, unit, data source, temporal and geographic coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Median pre-money valuations ($M) by stage in fintech in the Americas 2020-2023,codebook_variable,Median pre-money valuation amounts by financing stage in the fintech sector in the Americas region by year.,Median valuation calculated from PitchBook data by financing stage.,Million USD,"Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,2020-2023 (up to 30 June 2023),Americas,5c06012a-54af-456c-b964-20628ca932aa,Median pre-money valuations ($M) by stage in fintech in the Americas 2020–2023*,30,0.9,pending,"Explicit metric with definition, unit, data source, temporal and geographic coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,"Quartile post-money (VC, PE and M&A) valuations in Americas 2020-2023",codebook_variable,"Quartile distribution of post-money valuations for venture capital, private equity, and M&A deals in the Americas fintech sector by year.",Quartile valuation data from PitchBook aggregated by year.,Million USD,"Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,2020-2023 (up to 30 June 2023),Americas,5c06012a-54af-456c-b964-20628ca932aa,"Quartile post-money (VC, PE and M&A) valuations in Americas 2020–2023*",30,0.9,pending,"Explicit metric with definition, unit, data source, temporal and geographic coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Top 10 global fintech deals in H1 2023,codebook_variable,"List of the top 10 largest fintech funding deals globally in the first half of 2023, including deal size, location, sector, and deal type.","Deal size in USD, deal type classification, and location from PitchBook data.",USD billion or million,"Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,H1 2023,Global,eed92ec6-0e55-4432-837e-2a173a31be19,"Top 10 global fintech deals in H1’23 ... 1. Coupa — $8B, San Mateo, US ... 2. Stripe — $6.9B, San Francisco, US ...",12,0.9,pending,"Explicit list of deals with deal size, location, sector, deal type, data source, and temporal coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Top 10 fintech deals in EMEA in H1 2023,codebook_variable,"List of the top 10 largest fintech funding deals in the EMEA region in the first half of 2023, including deal size, location, sector, and deal type.","Deal size in USD, deal type classification, and location from PitchBook data.",USD million or billion,"Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,H1 2023,EMEA,9007b97d-f709-45d5-a961-d616bbb47841,"Top 10 fintech deals in EMEA in H1’23 ... 1. Wood Mackenzie — $3.1B, Edinburgh, UK ... 3. Ledger — $493M, Paris, France ...",41,0.9,pending,"Explicit list of deals with deal size, location, sector, deal type, data source, and temporal coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Top 10 fintech deals in ASPAC in H1 2023,codebook_variable,"List of the top 10 largest fintech funding deals in the ASPAC region in the first half of 2023, including deal size, location, sector, and deal type.","Deal size in USD, deal type classification, and location from PitchBook data.",USD million or billion,"Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,H1 2023,ASPAC,12d84b07-0285-454c-a1aa-e5cb6809603c,"Top 10 fintech deals in ASPAC in H1’23 ... 1. Chongqing Ant Consumer Finance — $1.5B, Chongqing, China ... 3. Kredivo Holdings — $270M, Singapore ...",49,0.9,pending,"Explicit list of deals with deal size, location, sector, deal type, data source, and temporal coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Definition of M&A transactions in fintech,codebook_variable,"M&A defined as transactions where one company purchases a controlling stake (>50%) in another company, including control acquisitions, leveraged buyouts, corporate divestitures, reverse mergers, mergers of equals, spin-offs, asset divestitures and acquisitions. Excludes debt restructurings, self-tenders, internal reorganizations, minority stake transactions (<50%), and small business transactions.",Transaction classification based on ownership percentage and transaction type.,,"PitchBook defines M&A as a transaction in which one company purchases a controlling stake in another company. Eligible transaction types include control acquisitions, leveraged buyouts (LBOs), corporate divestitures, reverse mergers, mergers of equals, spin-offs, asset divestitures and asset acquisitions. Debt restructurings or any other liquidity, self- tender or internal reorganizations are not included. More than 50 percent of the company must be acquired in the transaction. Minority stake transactions (less than a 50-percent stake) are not included. Small business transactions are not included in this report.",private_database,private,,,7b98a747-66e9-42ff-ac9f-e8ce05888455,"PitchBook defines M&A as a transaction in which one company purchases a controlling stake in another company. Eligible transaction types include control acquisitions, leveraged buyouts (LBOs), corporate divestitures, reverse mergers, mergers of equals, spin-offs, asset divestitures and asset acquisitions. Debt restructurings or any other liquidity, self- tender or internal reorganizations are not included. More than 50 percent of the company must be acquired in the transaction. Minority stake transactions (less than a 50-percent stake) are not included. Small business transactions are not included in this report.",54,0.95,pending,Explicit definition and measurement method provided with data source.,gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",percentage of premises passed with gigabit-capable broadband,codebook_variable,"Percentage of UK premises that can access gigabit-capable broadband, including premises with access to FTTP and/or DOCSIS3.1 technologies, excluding a small number with gigabit-capable mobile broadband (Fixed Wireless Access).",Measured as the percentage of premises passed with gigabit-capable broadband according to ThinkBroadband data.,percentage,ThinkBroadband,public_dataset,obtainable,monthly,UK,3fc84d9f-6f50-420d-93e6-eecf4fbdcc5a,Chart: percentage of premises passed with gigabit-capable broadband Source title: ThinkBroadband Release schedule: monthly Notes: includes premises with access to FTTP and/or DOCSIS3.1 technologies.,27,0.95,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046","percentage of geographic area with 4G coverage from at least one mobile network operator (UK, outdoor)",codebook_variable,"Percentage of UK landmass geographic area covered by 4G from at least one mobile network operator, outdoor coverage.","Measured by Ofcom Connected Nations reports, coverage figures rounded to nearest 1%.",percentage,Ofcom Connected Nations reports,public_dataset,obtainable,twice yearly,UK,3fc84d9f-6f50-420d-93e6-eecf4fbdcc5a,Chart: 4G geographic coverage from at least one mobile network operator Source title: Ofcom Connected Nations reports Notes: coverage figures are rounded to the nearest 1%. Release schedule: twice yearly,27,0.95,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046","percentage of premises with 5G coverage from at least one mobile network operator (UK, coverage outside premises)",codebook_variable,Percentage of UK premises with 5G coverage (combined standalone and non-standalone) from at least one mobile network operator outside premises.,"Measured by Ofcom Connected Nations reports, coverage figures rounded to nearest 1%.",percentage,Ofcom Connected Nations reports,public_dataset,obtainable,twice yearly,UK,3fc84d9f-6f50-420d-93e6-eecf4fbdcc5a,Chart: 5G coverage outside premises from at least one mobile network operator Source title: Ofcom Connected Nations reports Release schedule: twice yearly Notes: Includes non-standalone and standalone 5G. Coverage figures are rounded to the nearest 1%.,27,0.95,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",gross expenditure on research and development as a percentage of GDP,codebook_variable,"Gross expenditure on research and development (GERD) as a percentage of the country's total economic output (GDP), also known as R&D intensity.",Calculated as total R&D expenditure across all industries divided by GDP.,percentage,ONS Gross Expenditure on R&D statistics (2022),public_dataset,obtainable,annual with a 2-year lag approximately,UK,7958e40e-ecff-46ab-88a8-039d13ded88d,Metric 1: gross expenditure on research and development as a percentage of GDP... Chart: UK gross expenditure on R&D as a percentage of GDP Source title: ONS Gross Expenditure on R&D statistics (2022) Release schedule: annual with a 2-year lag approximately.,24,0.95,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",business expenditure on R&D,codebook_variable,Total expenditure on research and development performed by UK businesses.,"Measured using ONS Business Expenditure on R&D statistics, recommended to use constant prices for time series analysis.",monetary value (GBP),ONS Business Expenditure on R&D statistics (2023),public_dataset,obtainable,annual with a 2-year lag approximately,UK,7958e40e-ecff-46ab-88a8-039d13ded88d,"Metric 2: business expenditure on R&D... Chart: expenditure on R&D performed by UK businesses, current (constant) prices Source title: ONS Business Expenditure on R&D statistics (2023) Release schedule: annual with a 2-year lag approximately.",24,0.95,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",field weighted citation impact (FWCI),codebook_variable,"The number of citations received by a publication divided by the number of citations expected for a publication of the same field, type, and age; aggregated to produce a country's FWCI indicating citation performance relative to global expectations.","Calculated by dividing actual citations by expected citations per publication, aggregated at country level.",ratio (dimensionless),"International comparison of the UK research base, 2025; SciVal® database, Elsevier B.V.",private_database,not_obtainable,2-3 years,UK,4bdd0f9c-1a5e-4c24-a6a9-44b390768328,"Metric 3: field weighted citation impact (FWCI) is the number of citations received by a publication divided by the number of citations expected of a publication in that field, of that type and age... Chart: UK Field weighted citation impact Source title: International comparison of the UK research base, 2025 Release schedule: 2–3 years Note: SciVal® database, Elsevier B.V.",25,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",number of new UK unicorns,codebook_variable,Count of UK start-up companies reaching a valuation of over $1 billion in a calendar year.,Count of new unicorns by calendar year as reported by Dealroom.co.,count,Dealroom.co,private_database,not_obtainable,continuously updated,UK,4bdd0f9c-1a5e-4c24-a6a9-44b390768328,Metric 4: number of new UK unicorns... Chart: number of new UK unicorns by calendar year Source title: Dealroom.co Release schedule: continuously updated,25,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",value of equity investment into R&D-intensive businesses,codebook_variable,"Monetary value of equity investment into R&D-intensive companies, defined using a keyword selection aligned with British Business Bank’s Small Business Equity Tracker 2024.","Measured as the value of equity investment into R&D-intensive businesses using data from PitchBook Data, Inc.",monetary value (GBP million),"PitchBook Data, Inc.",private_database,not_obtainable,continuously updated,UK,3b2d7da6-ce8c-47ee-a0af-4fef6a14f4f5,"Chart: value of equity investment into R&D-intensive businesses (£m) Source title: PitchBook Data, Inc. Release schedule: continuously updated",26,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",digital sector annual gross value added (GVA),codebook_variable,"Estimate of the annual contribution of the digital sector to the UK economy, measured by gross value added (GVA), defined as value of output minus value of intermediate consumption.",Measured as annual GVA in 2022 prices expressed in chained volume measures.,monetary value (GBP billion),Economic Estimates: Digital Sector Annual Gross Value Added (2019 to 2023),public_dataset,obtainable,annual,UK,3b2d7da6-ce8c-47ee-a0af-4fef6a14f4f5,"Metric 6: digital sector annual gross value added... Chart: estimated annual gross value added (GVA) in 2022 prices expressed in chained volume measures digital sector, 2019 to 2023 (£bn) Source title: Economic Estimates: Digital Sector Annual Gross Value Added (2019 to 2023) Release schedule: Annual",26,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",percentage of UK internet users who claim they have experienced at least one example of potentially harmful online content or behaviour in the last 4 weeks,codebook_variable,Proportion of UK internet users reporting experiencing at least one type of potentially harmful online content or behaviour in the four weeks preceding the survey.,Surveyed twice a year by Ofcom using a list of approximately 50 types of potential harms.,percentage,Ofcom: Online Experiences Tracker survey,public_dataset,obtainable,twice yearly,UK,64013b6c-94ce-42cf-a1f7-7e261c095e5c,Metric 10: percentage of UK internet users who claim they have experienced at least one example of potentially harmful online content or behaviour in the last 4 weeks... Source title: Ofcom: Online Experiences Tracker survey Release schedule: twice yearly.,28,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",percentage of staff turnover (those who left the core department and did not stay within the Civil Service),codebook_variable,Percentage of staff who left the core department and did not remain within the Civil Service during the year.,Calculated as the proportion of leavers relative to total staff in the core department.,percentage,Civil Service Statistics 2024,public_dataset,obtainable,annual,UK,d96950f9-a566-4967-a3a5-3a8a7993738c,Staff turnover percentage Table: Staff turnover percentage D SIT core dept 2024–25... Turnover (Those who left the core department and did not stay within the Civil Service) 6.3%,90,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal/geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",staff engagement score,codebook_variable,Percentage score representing staff engagement level based on the D SIT People Survey 2024.,Survey conducted from 19 September to 13 October 2024 with 88% response rate; engagement index score calculated from survey responses.,percentage,D SIT People Survey 2024,survey,not_obtainable,annual,UK,d96950f9-a566-4967-a3a5-3a8a7993738c,Staff engagement scores 2024–25... The staff engagement index score was 61%.,90,0.85,pending,"Explicit definition, measurement method, unit, data source, and temporal coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",number of senior civil servants by pay band,codebook_variable,"Count of senior civil servants (SCS) grouped by pay band as measured at 31 March each year, excluding inactive workers.","Count of active SCS employees by pay band at 31 March, excluding inactive workers such as those on maternity leave and outward loans.",count,D SIT internal HR records,report_table,not_obtainable,annual,UK,410fcfa3-3251-47b8-904a-3781615c2b64,Table: Number of senior civil servants by pay band Pay band Number of SCS as at 31 Mar 2025 Restated Number of SCS as at 31 Mar 2024,93,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
b44db9e9-a2bd-49ea-b454-8a092a80bac0,"Department for Science, Innovation & Technology ANNUAL REPORT AND ACCOUNTS 2024–25 HC 1046",staff numbers,codebook_variable,"Average number of full-time equivalent persons employed during the year, including active workers and excluding inactive workers such as those on maternity leave and outward loans.",Calculated as average full-time equivalent staff over the year.,count,D SIT internal HR records,report_table,not_obtainable,annual,UK,410fcfa3-3251-47b8-904a-3781615c2b64,Staff numbers This is audited information. Staff numbers are the average number of full-time equivalent persons employed during the year.,93,0.9,pending,"Explicit definition, measurement method, unit, data source, and temporal coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
